last_name, first_name,pitch_hand,active_spin_fourseam,active_spin_sinker,active_spin_cutter,active_spin_changeup,active_spin_fastball,active_spin_slider,active_spin_curve
Godley, Zack,R,,70.8,31.8,61.8,,,43.4
Vólquez, Edinson,R,,89.5,,82.4,,,58.6
Manaea, Sean,L,,77.9,,67.5,,16.6,
Guerrieri, Taylor,R,,89.5,,78.6,,,98.2
Cobb, Alex,R,,92.5,,,,,66.1
Harris, Will,R,,,48.8,,,,85.1
Valdez, Phillips,R,,88.3,,72.9,,,
Alcántara, Victor,R,,92.5,,92.2,,48.5,
Sampson, Adrian,R,,89.4,,90.5,,22.3,
Davies, Zach,R,,94.3,57.7,84.1,,24.9,59.3
Crichton, Stefan,R,,93.6,,,,,74.1
McFarland, T.J.,L,,91.9,,86.5,,34.4,
Gómez, Jeanmar,R,,94,,63.3,,24,
Poppen, Sean,R,,87.7,,,,59.6,
Heaney, Andrew,L,,94,,90.7,,,40.2
Boshers, Buddy,L,,84.8,,76.9,,,56.5
Claudio, Alex,L,,92.3,,90,,29.3,
Clase, Emmanuel,R,,,45.1,,,30.4,
Gaviglio, Sam,R,,76.4,,83.4,,18.4,36.1
Scott, Robby,L,,87,,,,51.6,
Blach, Ty,L,,86.9,22.5,85.7,,,62.4
Rogers, Taylor,L,,93.5,,,,51.2,59.9
Zeuch, T.J.,R,,84.5,,77.4,,18.9,67.6
Romero, Fernando,R,,90.5,,,,18.8,
Borucki, Ryan,L,,95.9,,85.3,,13.8,
Payano, Pedro,R,,90,,86,,22,43.2
Yardley, Eric,R,,91.7,,,,,75.7
Petricka, Jake,R,,96.6,,87.8,,,
Hildenberger, Trevor,R,,86.7,,75,,41.4,
Perdomo, Luis,R,,92.3,,,,12.5,
Lucchesi, Joey,L,,80.7,69.3,,,,15.9
Britton, Zack,L,,73.1,,,,61.7,
Stammen, Craig,R,,86.7,21.6,,,,72.5
Noesí, Hector,R,,88.8,,87,,37.2,39.9
Schlitter, Brian,R,,81.9,19.6,,,,
Ureña, José,R,,92.6,,96.5,,29.4,22.7
Holland, Derek,L,,91.9,,78.7,,17.2,10.4
Tate, Dillon,R,,79.4,,83.3,,24.7,29.4
Jones, Nate,R,,92.6,,,,20.4,
Pazos, James,L,,85.2,,,,31.1,
Hellickson, Jeremy,R,,90.4,54.5,58.9,,,80
Shaw, Bryan,R,,,35.8,49.4,,63.2,69
Abad, Fernando,L,,79.4,,73.4,,,54.1
Venters, Jonny,L,,78.4,,,,40.9,
Watson, Tony,L,,86.8,,95,,20.3,
Carasiti, Matt,R,,94.9,39.6,71.3,,,
McClain, Reggie,R,,91.2,,,,10.6,
Matz, Steven,L,,93.7,,78.7,,27.7,70.2
