last_name, first_name,pitch_hand,active_spin_fourseam,active_spin_sinker,active_spin_cutter,active_spin_changeup,active_spin_fastball,active_spin_slider,active_spin_curve
Smith, Riley,R,,87.4,32.5,95.1,,26.5,72.9
McCullers Jr., Lance,R,,75.1,26,94.1,,43.2,70.3
Sánchez, Cristopher,L,,98,,87.1,,11.4,
Alexander, Scott,L,,78.8,,92,,31.4,
Luetge, Lucas,L,,,43.9,,,45,85.8
Britton, Zack,L,,83.2,,,,45.1,
Stammen, Craig,R,,92.5,62.6,,,,72.3
Davies, Zach,R,,98.6,78,96.9,,,66
Kintzler, Brandon,R,,92.3,,96.6,,17.7,
Harris, Will,R,,,69.9,,,,89.1
Petricka, Jake,R,,94.6,,71.7,,17.5,
Holmes, Clay,R,,76.6,,,,20,72.3
Dolis, Rafael,R,,91.2,,,,36.1,
Northcraft, Aaron,R,,75.5,,87.9,,42.1,
Ramirez, Nick,L,,95,61.1,98.1,,30.4,
Borucki, Ryan,L,,95.8,,88.9,,18.5,
Arrieta, Jake,R,,85.1,,91,,42.9,78.3
Fernández, Junior,R,,96.8,,90.9,,39.1,
Hicks, Jordan,R,,92.7,31,,,,
Robertson, David,R,,,74.8,,,55.3,61.7
Manaea, Sean,L,,96.7,,94.7,,,26.6
Peacock, Matt,R,,94.3,,97.9,,11,
Kolarek, Adam,L,,93.4,,98.5,,43,
De León, José,R,,98,,97.8,,60.7,
McFarland, T.J.,L,,87.4,,96.8,,50.8,
Osich, Josh,L,,78.5,30.1,96.5,,36.3,
Crichton, Stefan,R,,96.8,,94.1,,,76.9
Antone, Tejay,R,,87,,,,53.4,85.4
de Geus, Brett,R,,85.2,28.2,,,,78.7
Lawrence, Justin,R,,84.9,,,,65.2,
Weber, Ryan,R,,93.4,,97.1,,,79.5
Matz, Steven,L,,99.4,,86.5,,39.6,82.3
Suero, Wander,R,,,60,69.4,,,71.2
Finnegan, Kyle,R,,98.8,,,,46.8,
Zeuch, T.J.,R,,88.5,38.1,97.6,,18.9,
Garcia, Bryan,R,,96.4,,97.3,,28.4,
Clase, Emmanuel,R,,,58.8,,,33.2,
Rowen, Ben,R,,77.3,,,,81.2,
Reed, Jake,R,,91.8,,,,27.1,
Loup, Aaron,L,,93.4,14.4,98.7,,,78.3
Sadler, Casey,R,,81.5,27.1,,,,62.4
Moll, Sam,L,,75.9,,,,39.9,
Mayza, Tim,L,,93.5,,,,18.3,
Diaz, Jhonathan,L,,90.4,,84.2,,54,
Hunter, Tommy,R,,77.4,53.3,,,,47.3
Pop, Zach,R,,81.6,,,,32.9,
Jansen, Kenley,R,,93.8,78.2,,,48.1,
González, Victor,L,,99.3,,,,15.9,
Valdez, Phillips,R,,96.4,,87,,37.7,
Castro, Miguel,R,,97.5,,92.2,,47.5,
Milner, Hoby,L,,97.1,,99,,,65.1
Lucchesi, Joey,L,,87.6,85.1,,,,30.8
Bleier, Richard,L,,81.7,38,,,53.7,
Cousins, Jake,R,,97.5,,,,39.3,
Barnes, Charlie,L,,97.7,,99.2,,21.9,61.1
Rogers, Taylor,L,,94.4,,,,43.1,
Bummer, Aaron,L,,83.1,16.5,,,82.1,
Yardley, Eric,R,,99.2,,99.4,,,71.3
Bruihl, Justin,L,,70.2,36.7,,,53.8,
Romano, Sal,R,,82.2,,,,19.9,36
Anderson, Brett,L,,93.5,56.4,94,,43.1,71.6
Crouse, Hans,R,,99.6,,98,,31.9,
Greene, Shane,R,,89.2,42.2,90,,51.5,
Wood, Alex,L,,99.1,,94.4,,25.9,
Uceta, Edwin,R,,96.2,,89.1,,,37
Dobnak, Randy,R,,88,,97.1,,20.4,
Santana, Edgar,R,,81.2,,,,14.3,
Elledge, Seth,R,,96.9,,,,56.1,
Poppen, Sean,R,,94.7,,96.5,,61.2,
Fleming, Josh,L,,92.2,47.2,82.4,,,61.2
Emanuel, Kent,L,,89.8,,86,,50,
Dunning, Dane,R,,78.4,35.8,99,,58.9,97.9
Clay, Sam,L,,90.9,,88.7,,33.2,
Scrubb, Andre,R,,,68.8,,,34,88.7
Sherriff, Ryan,L,,93,,,,28.9,
García, Luis,R,,85.4,,,,43.7,
Wade, Konner,R,,95.9,62.4,99.4,,,
King, John,L,,83.3,53.2,95.5,,37.8,
Yarbrough, Ryan,L,,97.4,40.5,93,,,73.6
Barnes, Matt,R,99.7,,,92.4,,,69.8
Mahle, Tyler,R,99.7,,,,,39.5,
Neidert, Nick,R,99.6,,,98.1,,39.5,85
Anderson, Ian,R,99.6,,,98.6,,,64.1
Santiago, Héctor,L,99.6,,,89.5,,40.2,
Banda, Anthony,L,99.6,,,96.1,,,45.9
Williams, Devin,R,99.5,99.4,35.5,79,,,
Greene, Conner,R,99.5,99.6,,98.3,,27.2,54.9
Robles, Hansel,R,99.5,,,95.3,,41.5,
Hammer, JD,R,99.5,,,,,31,
Gray, Josiah,R,99.5,,,99.2,,24.8,23.7
Gomber, Austin,L,99.5,,,96.3,,34.8,93.6
Richards, Trevor,R,99.4,,,76.4,,,18.9
Baragar, Caleb,L,99.4,,,,,35.3,
Burrows, Beau,R,99.4,,,98.1,,22.8,
Smyly, Drew,L,99.3,,70.7,,,,26.6
Heaney, Andrew,L,99.3,,,99.2,,,42.1
Plesac, Zach,R,99.3,,,98.8,,54.2,62.5
Giolito, Lucas,R,99.3,,,98.7,,28.4,76.2
Cotton, Jharel,R,99.2,,,77.4,,30,68.2
Odorizzi, Jake,R,99.2,,63,,,47.2,66.7
Whitley, Kodi,R,99.2,,,99.3,,43.7,
Morgan, Eli,R,99.1,,91.2,85.7,,35.8,67.6
Harvey, Hunter,R,99.1,,,91.9,,30.2,83.8
Rogers, Josh,L,99.1,,,99.2,,17.8,
Gallegos, Giovanny,R,99.1,,,98.3,,13.1,
Kowar, Jackson,R,99.1,,,86.5,,43.8,76.9
Stanek, Ryne,R,99.1,,,,,21.9,
García, Jarlín,L,99.1,,,98.4,,37.1,
Lowther, Zac,L,99,,,99.2,,54.3,94.2
Hader, Josh,L,99,,,97.6,,17.5,
Weems, Jordan,R,99,,,95.7,,37.3,
Urquidy, José,R,99,,,97.7,,51.8,81.2
Perez, Francisco,L,99,,,99.3,,24.9,
Doolittle, Sean,L,98.9,,,,,44.4,37.7
Santos, Antonio,R,98.9,,,97.9,,39.1,51.5
Weathers, Ryan,L,98.9,99.1,,97.9,,36.2,
Brebbia, John,R,98.9,,,,,40.2,
Swanson, Erik,R,98.8,,,,,31,
Gose, Anthony,L,98.8,,,,,57.8,
Cabrera, Génesis,L,98.8,95.8,,98.9,,,74.7
Bowden, Ben,L,98.8,,,98.8,,20.9,
Nolin, Sean,L,98.8,,47.6,96.4,,,93.7
Tropeano, Nick,R,98.8,97.6,,98.9,,19.6,
Smith, Caleb,L,98.8,,,99.4,,34.8,53.7
Hoffman, Jeff,R,98.7,,,98.6,,45.3,83.7
Springs, Jeffrey,L,98.7,,,98.8,,31.2,
Abreu, Albert,R,98.7,99,,98.8,,27.9,
Estévez, Carlos,R,98.7,,,94.5,,34.1,
Eickhoff, Jerad,R,98.6,,,82.3,,31.7,59.7
Faria, Jake,R,98.6,,,,,41.3,94
Kuhl, Chad,R,98.6,97.1,,95.5,,31.1,74.3
Jackson, Andre,R,98.6,,,89.6,,57.1,
Paddack, Chris,R,98.6,,,93,,,96.9
Heasley, Jon,R,98.6,98.8,,96,,,69.5
Conley, Adam,L,98.5,,,97.1,,16.5,
Wacha, Michael,R,98.5,97.7,55.8,89.1,,,83.7
Luzardo, Jesús,L,98.5,98.3,,98.4,,,12.9
Benjamin, Wes,L,98.4,,29.5,97.1,,,70.4
Gonzales, Marco,L,98.4,99.5,73.9,96.6,,,77.7
Diekman, Jake,L,98.4,98.5,,,,36.3,
Holland, Derek,L,98.4,98.8,,95.5,,,18
Kazmir, Scott,L,98.4,,,96.1,,60.8,
Thorpe, Lewis,L,98.4,,,96.6,,52.7,85.1
Long, Sammy,L,98.4,,,93.6,,52.1,73.4
Johnson, Pierce,R,98.3,,,,,,52.1
Heuer, Codi,R,98.3,,,88.1,,33.9,
Cole, Gerrit,R,98.3,98.6,,98.7,,26,74.1
Anderson, Tyler,L,98.3,97.2,46.7,97.3,,,49.6
Canning, Griffin,R,98.3,,,94.7,,14,39.2
Irvin, Cole,L,98.3,96.9,,98.9,,18.7,54.9
Vesia, Alex,L,98.3,,,99.6,,37.6,
Moore, Matt,L,98.2,,74.1,98.4,,,64.9
Ryu, Hyun Jin,L,98.1,,54.8,99.3,,27.8,83.5
Bergen, Travis,L,98,,,,,,31.7
De Los Santos, Enyel,R,98,,,99.5,,12.5,
Walker, Taijuan,R,98,96.8,,,,35.8,72.8
Stephenson, Robert,R,98,,,,,35,55.7
Ynoa, Huascar,R,97.9,97.7,,99,,34.4,
Ríos, Yacksel,R,97.9,96.3,,,,30,
Wilson, Justin,L,97.9,,57.5,,,37.6,
Hill, Tim,L,97.9,96,,,,46.1,
Lauer, Eric,L,97.9,,69.2,97.1,,44.7,46.9
Stashak, Cody,R,97.8,,,,,28.6,
Foster, Matt,R,97.8,,75.3,96.4,,36.8,
Buchter, Ryan,L,97.8,,50.6,,,,57
Harvey, Matt,R,97.8,97.9,,97.8,,31.7,62.6
Díaz, Edwin,R,97.7,,,,,28.1,
Whitlock, Garrett,R,97.7,97.9,,91.5,,29.6,
Detmers, Reid,L,97.7,98.8,,97,,31.1,92.7
Gausman, Kevin,R,97.6,,,93.4,,18.8,
McGee, Jake,L,97.6,,,,,22.4,
Wells, Alexander,L,97.6,,,98.5,,31.6,76.1
Rodón, Carlos,L,97.6,,,98.9,,28.3,63.5
Kennedy, Ian,R,97.5,,37,97.7,,,64.4
Hudson, Daniel,R,97.5,,,96.9,,22.7,
Goudeau, Ashton,R,97.5,,,99,,,84.7
Mears, Nick,R,97.5,,,,,,73.6
Rodríguez, Richard,R,97.4,,,,,47.3,
Jax, Griffin,R,97.4,,,99.4,,41.3,66.1
Vest, Will,R,97.4,,,99.3,,32.3,
Littell, Zack,R,97.4,,,,,43.2,
Howard, Sam,L,97.4,,,97.1,,25.6,
Pivetta, Nick,R,97.4,,,98.5,,34.4,94.3
Sulser, Cole,R,97.3,,,82.4,,39.4,71.8
Bieber, Shane,R,97.3,,39.3,98.6,,16.8,83.8
Pérez, Martín,L,97.3,97.1,61.3,99.4,,,40.7
Cobb, Alex,R,97.3,96.8,,,,,58.1
Diaz, Miguel,R,97.3,,,93.4,,40.5,
Means, John,L,97.2,,,98.1,,52.7,56.2
Brogdon, Connor,R,97.2,,62,99.4,,,
Evans, Demarcus,R,97.2,,53,,,27.5,
McKenzie, Triston,R,97.2,,,96.9,,42.3,67.9
Sborz, Josh,R,97.2,,,,,11,79
Colomé, Alex,R,97.1,,51,,,,
Steckenrider, Drew,R,97.1,,,97.9,,,49.5
Strahm, Matt,L,97.1,99.1,,95.2,,36,35.1
Bednar, David,R,97.1,,,,,,77
Webb, Jacob,R,97,,,96.9,,,73.2
Wisler, Matt,R,96.9,,,,,25.8,
Meisinger, Ryan,R,96.9,94.2,,96.9,,19.9,
Ryan, Joe,R,96.9,,,99.7,,21.5,76.9
García, Deivi,R,96.9,,,99.2,,39.7,79.1
Guerra, Deolis,R,96.9,96.3,,92,,34.9,97.7
Akin, Keegan,L,96.9,,,95.3,,29,46.2
Nola, Aaron,R,96.9,95.7,46.5,99.3,,,86.6
Eovaldi, Nathan,R,96.9,,69.2,,,43,78
Albers, Andrew,L,96.9,97.6,,98.9,,26.5,79
McClanahan, Shane,L,96.8,,,98.7,,22.8,54.8
Ponce de Leon, Daniel,R,96.8,,59.5,97.4,,,70
Gant, John,R,96.8,96.3,27,96.5,,33.3,79.2
Overton, Connor,R,96.8,96.1,,97.6,,11.5,86
Milone, Tommy,L,96.7,,,95.4,,26.5,39.6
Duffy, Danny,L,96.7,94.3,,92.3,,40.4,92.5
