last_name, first_name,player_id,year,player_age,ff_avg_speed,sl_avg_speed,ch_avg_speed,cu_avg_speed,
Sabathia, CC,282332,2019,39,88.8,79.2,82.7,,
Rodney, Fernando,407845,2019,42,94.4,86.3,83,,
Perez, Oliver,424144,2019,38,91.5,78.5,,,
Wainwright, Adam,425794,2019,38,89.6,,83.9,74.9,
Greinke, Zack,425844,2019,36,89.9,83.7,87.4,70.6,
Jackson, Edwin,429719,2019,36,93.5,85.7,87,77.9,
Santana, Ervin,429722,2019,37,90,82.2,83.4,,
Hamels, Cole,430935,2019,36,91.4,,83.3,78,
Hernandez, Felix,433587,2019,33,89.9,83.8,84.7,79.3,
Petit, Yusmeiro,433589,2019,35,89.1,,81.5,76.4,
Verlander, Justin,434378,2019,36,94.6,87.5,86.9,79.4,
Liriano, Francisco,434538,2019,36,92.8,87,87,,
Sanchez, Anibal,434671,2019,35,90.2,83.2,70.7,76.9,
Duke, Zach,435043,2019,36,87.7,80.4,,74.1,
Rondon, Hector,444468,2019,31,96.7,86.8,90.6,,
Dunn, Mike,445197,2019,34,91.4,85.2,,74.8,
Kintzler, Brandon,445213,2019,35,93.1,86.7,87.5,,
Jansen, Kenley,445276,2019,32,,81.8,,,
Chavez, Jesse,445926,2019,36,91.4,86.4,85.2,83.5,
Detwiler, Ross,446321,2019,33,91.6,83.8,84.9,78.1,
Kluber, Corey,446372,2019,33,92,,84.9,82.9,
Hill, Rich,448179,2019,39,90.3,73.1,82.1,74.5,
Doolittle, Sean,448281,2019,33,93.5,80.9,,,
Sipp, Tony,448609,2019,36,90.4,83.2,,,
Guerra, Junior,448855,2019,34,94.6,,,82.1,
Volquez, Edinson,450172,2019,36,93.9,,83.1,80.8,
Morton, Charlie,450203,2019,36,94.7,,,78.6,
Neshek, Pat,450212,2019,39,,81.6,63.4,,
Vargas, Jason,450306,2019,36,84.2,,78.7,70.6,
Davis, Wade,451584,2019,34,93.2,,90.6,82.8,
Lester, Jon,452657,2019,35,90.6,,84.3,74.5,
Hughes, Jared,453172,2019,34,92.8,84.3,84.6,80,
Kennedy, Ian,453178,2019,35,94.4,,87.9,80.5,
Miller, Andrew,453192,2019,34,92.4,82.4,84.2,,
Watson, Tony,453265,2019,34,94.3,85.6,86.1,,
LeBlanc, Wade,453281,2019,35,86.3,,78.6,72.5,
Parker, Blake,453284,2019,34,91.3,,,76,
Scherzer, Max,453286,2019,35,94.9,85.6,84.3,78.5,
Buchholz, Clay,453329,2019,35,89.7,,76.6,75.1,
Melancon, Mark,453343,2019,34,92.2,,,82.1,
Richard, Clayton,453385,2019,36,91.1,79.6,82.1,,
Arrieta, Jake,453562,2019,33,91.9,89.7,87.5,80.6,
Martin, Chris,455119,2019,33,95.9,86.1,89,,
Price, David,456034,2019,34,91.9,,84.1,80.4,
Noesi, Hector,456051,2019,32,,88.1,86.2,80.1,
Cueto, Johnny,456501,2019,33,91.3,84.1,83.4,80.8,
Hernandez, David,456696,2019,34,93.6,,88,82,
Bailey, Homer,456701,2019,33,93,87.3,,78.3,
Guerra, Javy,457915,2019,34,92.7,85.2,83.6,79,
Happ, J.A.,457918,2019,37,92,84.8,86,81,
Albers, Matt,458006,2019,36,93.2,83.4,83.7,,
Wilson, Justin,458677,2019,32,95,83.8,,,
Lynn, Lance,458681,2019,32,94.6,,86.9,81.2,
Tomlin, Josh,458708,2019,35,89.4,,84.7,76.5,
McGee, Jake,459429,2019,33,93.4,80.4,,,
Blevins, Jerry,460283,2019,36,88.8,,82.9,72.3,
Clippard, Tyler,461325,2019,34,90.1,82.6,78.4,74.4,
Gonzalez, Gio,461829,2019,34,89.5,,82.3,75.3,
Swarzak, Anthony,461872,2019,34,93.4,86.1,,,
Estrada, Marco,462136,2019,36,87.3,,75.7,75.4,
Soria, Joakim,465657,2019,35,92.6,81.5,87.6,73,
Strop, Pedro,467008,2019,34,93.5,83.1,,,
Nova, Ivan,467100,2019,32,92.5,,86.2,79.9,
Chacin, Jhoulys,468504,2019,31,90,79.8,82.8,77,
Carrasco, Carlos,471911,2019,32,93.8,84.7,87.8,81.2,
Garcia, Luis,472610,2019,32,97.1,85.2,,,
Dyson, Sam,473879,2019,31,94,82.8,87.3,,
Anderson, Brett,474463,2019,31,89.4,81.9,82.6,75.6,
Roe, Chaz,475054,2019,33,92.1,81.1,,74.9,
Ross, Tyson,475115,2019,32,89.6,83.6,,,
Phelps, David,475479,2019,33,92.7,,86.4,80.1,
Hellickson, Jeremy,476451,2019,32,88.6,,79.8,73.7,
Warren, Adam,476589,2019,32,91.4,85.5,84.9,78.8,
Stock, Robert,476594,2019,30,97.9,82.8,84.9,,
Kershaw, Clayton,477132,2019,31,90.3,86.9,85.2,73.5,
Buchter, Ryan,488748,2019,32,92.4,,,77.6,
Cashner, Andrew,488768,2019,33,93.9,85.7,84.5,80.6,
Miley, Wade,489119,2019,33,90.8,81.7,81.2,75.6,
Romo, Sergio,489265,2019,36,86.5,77.4,80.2,,
Stammen, Craig,489334,2019,35,91.8,,89.1,81.3,
Yates, Kirby,489446,2019,32,93.5,85.2,,,
Gomez, Jeanmar,491646,2019,31,91,83.8,84.5,75.4,
Oh, Seunghwan,493200,2019,37,91.1,82.7,82.5,73.4,
Ottavino, Adam,493603,2019,34,93.8,81.9,,,
Quintana, Jose,500779,2019,30,91.4,,86.5,77,
Pineda, Michael,501381,2019,30,92.5,83.9,87.1,,
Avilan, Luis,501593,2019,30,,,82.4,75.4,
Alvarez, Jose,501625,2019,30,91.4,83.3,82,81.6,
Harris, Will,501789,2019,35,92,,,81.3,
Smith, Joe,501925,2019,35,88.9,79.6,77.9,,
Minor, Mike,501985,2019,32,92.5,86.4,86.2,80.7,
Jeffress, Jeremy,502026,2019,32,94,,,81,
Archer, Chris,502042,2019,31,94.1,88.7,87.7,82.3,
Gibson, Kyle,502043,2019,32,93.4,84.1,85.3,80.1,
Britton, Zack,502154,2019,32,,80.6,,,
Cobb, Alex,502171,2019,32,,,,82.5,
Samardzija, Jeff,502188,2019,34,91.6,84.6,,76.3,
Leake, Mike,502190,2019,32,88.6,80.3,84,79.3,
Boxberger, Brad,502202,2019,31,90,85.3,78.2,,
Cahill, Trevor,502239,2019,31,91.8,,83.4,79.4,
Santiago, Hector,502327,2019,32,91.8,85,83.9,74.6,
Miller, Justin,502522,2019,32,92.1,85.8,88.3,,
Anderson, Chase,502624,2019,32,93.3,,82.7,77.8,
Holland, Derek,502706,2019,33,,81.1,83.9,77.7,
Peacock, Brad,502748,2019,31,92.5,81.3,83.4,78.6,
Peralta, Wily,503449,2019,30,94.3,82.1,84.8,74.7,
Nicasio, Juan,504379,2019,33,93.8,86.7,84.7,,
Darvish, Yu,506433,2019,33,94.1,82.4,83.8,77.2,
Herrera, Kelvin,516969,2019,30,96.3,81.7,88.6,,
Colome, Alex,517008,2019,31,94.4,,91.2,,
Alexander, Scott,518397,2019,30,,84.2,87,,
Bettis, Chad,518452,2019,30,93,,87,77.3,
Brasier, Ryan,518489,2019,32,96.1,85.2,87.4,,
Bumgarner, Madison,518516,2019,30,91.4,,84.2,78.8,
Cishek, Steve,518553,2019,33,90.5,78.9,83.9,,
Cole, Taylor,518566,2019,30,93.2,87.4,86.9,82.2,
Diekman, Jake,518617,2019,32,95.8,85,90,,
Duffy, Danny,518633,2019,31,92.3,84,83.8,76.1,
Gearrin, Cory,518715,2019,33,91,85.2,85.3,,
Harvey, Matt,518774,2019,30,93.2,87.2,85.7,81.4,
Holland, Greg,518813,2019,34,91.6,84.3,83.8,77.5,
Kelley, Shawn,518875,2019,35,91.9,82.4,83.3,,
Kelly, Merrill,518876,2019,31,92,,86,80.6,
Kimbrel, Craig,518886,2019,31,96.2,,,85.9,
McFarland, T.J.,519008,2019,30,89.2,80.9,82,,
Nelson, Jimmy,519076,2019,30,92.3,85.5,87.2,82.8,
Otero, Dan,519096,2019,34,88.6,78.9,82.2,,
Pomeranz, Drew,519141,2019,31,92.8,,85.6,81.2,
Porcello, Rick,519144,2019,31,91,84.3,80.8,74.9,
Pressly, Ryan,519151,2019,31,95.5,90.2,,83,
Ramirez, Neil,519166,2019,30,94.4,84.6,,79.4,
Sale, Chris,519242,2019,30,93.4,79,85.2,,
Smith, Will,519293,2019,30,92.6,81.6,87,77.1,
Strickland, Hunter,519326,2019,31,95.9,83.6,89.4,,
Walden, Marcus,519393,2019,31,94.1,85.6,,,
Workman, Brandon,519443,2019,31,92.9,,,80.6,
Zimmermann, Jordan,519455,2019,33,90.5,85.8,87.1,80.2,
Baez, Pedro,520980,2019,31,95.8,86.3,86.2,,
Hendriks, Liam,521230,2019,30,96.5,88.5,,84.4,
Font, Wilmer,521655,2019,29,94.4,84.1,,76.4,
Kelly, Joe,523260,2019,31,97.5,,87.6,87.2,
Perez, Martin,527048,2019,28,94.2,,85.3,79.2,
Teheran, Julio,527054,2019,28,89.7,82.2,83.6,74.8,
Osuna, Roberto,532077,2019,24,96.7,88.2,84.4,83.1,
